🔒 Row ID,keys/usersID,title,totals/num_subcategories,totals/budget,totals/all_budget,totals/%budget,totals/spent,totals/avg,template/AI_emoji,template/emoji_title,template/%_budget,template/avg
zh9e0UshT6azasqEA3LpEQ,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Personal Spending,15,1000,23595,4.2381860564,105262.88,35087.6266666667,💸,💸 Personal Spending,"4.24% | $1,000.00","Avg: $35,087.63"
puyp5peSTm60M20rssM1OA,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Finance,18,5900,23595,25.0052977326,0,0,💰,💰 Finance,"25.01% | $5,900.00",Avg: $0.00
r0P8pAp.TOejFByXWeLTTA,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Utilities,9,595,23595,2.5217207035,11878.2,3959.4,🔌,🔌 Utilities,2.52% | $595.00,"Avg: $3,959.40"
RKJSsbhnSsO7BnraDYKQIw,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Food,5,7100,23595,30.0911210002,31449.51,10483.17,🍔,🍔 Food,"30.09% | $7,100.00","Avg: $10,483.17"
fdLePIRtSYWq-TTr5GvJyQ,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Transportation,15,1900,23595,8.0525535071,30272.35,10090.7833333333,🚗,🚗 Transportation,"8.05% | $1,900.00","Avg: $10,090.78"
a.3DbYVw5SfuRQQ61dyWeYQ,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Medical & Healthcare,3,700,23595,2.9667302395,2120,706.6666666667,⚕️,⚕️ Medical & Healthcare,2.97% | $700.00,Avg: $706.67
y6cdmxBiRK2MqpWerUGfaw,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Recreation & Entertainment,14,3900,23595,16.5289256198,18691.14,6230.38,🎉,🎉 Recreation & Entertainment,"16.53% | $3,900.00","Avg: $6,230.38"
HqoZz-fARwGTbjZOi-kAXQ,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Business,9,0,23595,0,3703.71,1234.57,💼,💼 Business,0.00% | $0.00,"Avg: $1,234.57"
hcdXe2v5RxyysoOMwcx-0w,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Other Expenses,5,0,23595,0,12127,4042.3333333333,💸,💸 Other Expenses,0.00% | $0.00,"Avg: $4,042.33"
dOKCd0RlRluR6tRmLdIX.w,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Self Development ,3,0,23595,0,3188.2,1062.7333333333,,,0.00% | $0.00,"Avg: $1,062.73"
Ggwbpe45R0-8DefKnoIxbQ,"oln3M90-R.CB-GcdkYSK1w,H8EDxMJfTSGXDT-3Krqacg,AbN6.FXMRWSorXy9KxlPTQ,iDL9UFS6R0u.cR3C.szCSw,hwbFC4lCTRm0pNG-FHA4Dg",Insurance,6,2500,23595,10.5954651409,0,0,,,"10.60% | $2,500.00",Avg: $0.00
zLbcy0SnT3yuuxVN0fOxFw,hwbFC4lCTRm0pNG-FHA4Dg,Boda Majo&Juanes,1,0,23595,0,0,0,,,0.00% | $0.00,Avg: $0.00
j01W-VrtSymiqI0Ymlrtfg,hwbFC4lCTRm0pNG-FHA4Dg,SONIC 2017,0,0,23595,0,0,0,🎮,🎮 SONIC 2017,0.00% | $0.00,Avg: $0.00
