🔒 Row ID,keys/userID,timestamp/initial,timestamp/final,title,day,amount,status/text,status/image,status/boolean
O5OUUISHQTSFRsk5-OoCNw,oln3M90-R.CB-GcdkYSK1w,"8/1/2023, 12:00:00 AM","7/31/2025, 12:00:00 AM",Sergio Sarmiento,30,1500,Not Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%238b0000;"" />
    </svg>",
LUlutz40TPakrw1-njLppg,oln3M90-R.CB-GcdkYSK1w,"4/14/2025, 12:00:00 AM","7/14/2026, 12:00:00 AM",Disney+,14,319,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
H0TzZNCbQZ6LxPp0lw.VKg,oln3M90-R.CB-GcdkYSK1w,"12/1/2024, 12:00:00 AM","5/1/2025, 12:00:00 AM",Glide Maker (60 USD),18,1224,Not Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%238b0000;"" />
    </svg>",
ZRJ4jXgASaG.IZWFp.lQ.A,oln3M90-R.CB-GcdkYSK1w,"10/27/2024, 12:00:00 AM","12/31/2026, 12:00:00 AM",Aji (175 USD),27,3517.73,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
ck-LfTS0TG204e2SrDZCkg,oln3M90-R.CB-GcdkYSK1w,"4/17/2025, 12:00:00 AM","7/17/2026, 12:00:00 AM",Cursor (20 USD),17,395.58,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
hm3ELNOtS86bc.hw38PA8w,oln3M90-R.CB-GcdkYSK1w,"6/1/2025, 12:00:00 AM","7/1/2026, 12:00:00 AM",Glide Explorer (27 USD)*,1,499,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
WIHbjtlOSSKM3EfmJR3AJg,oln3M90-R.CB-GcdkYSK1w,"7/2/2025, 12:00:00 AM","7/2/2026, 12:00:00 AM",Wispr Flow (15 USD),2,288.07,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
Q-aKVz75QEGJheLtKVbWGA,oln3M90-R.CB-GcdkYSK1w,"8/20/2025, 12:00:00 AM","12/31/2026, 12:00:00 AM",Render (7 USD),3,131,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
Zo08iaTxSQKVah6GRNc4bw,oln3M90-R.CB-GcdkYSK1w,"11/1/2025, 12:00:00 AM","12/31/2026, 12:00:00 AM",Dominio - Cabo Care,10,171,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
0AN1beuoRFiDYaMd2.qfwQ,oln3M90-R.CB-GcdkYSK1w,"11/1/2025, 12:00:00 AM","12/31/2026, 12:00:00 AM",Dominio - Kbordados,25,171,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
t4JHXaU.RVm6EcjtxGH2cQ,oln3M90-R.CB-GcdkYSK1w,"1/29/2026, 12:00:00 AM","12/31/2026, 12:00:00 AM",Claude (juanesngtz) (100 USD),1,1741,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
SZYViO7NSTiNPChFE8uTCA,oln3M90-R.CB-GcdkYSK1w,"2/2/2026, 12:00:00 AM","12/31/2026, 12:00:00 AM",Hetzner Server (12 USD),2,208,Active,"data:image/svg+xml;utf8,
    <svg xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"" viewBox=""0 0 200 200"" xml:space=""preserve"" height=""200px"" width=""200px"">
      <rect width=""200"" height=""200"" style=""fill:%23355e3b;"" />
    </svg>",true
